,Mod
1,4
2,4
3,6
4,6
5,4
6,4
7,6
8,4
9,4
10,4
11,6
12,4
13,6
14,6
15,4
16,4
17,4
18,6
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,6
27,4
28,4
29,4
30,4
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,4
42,4
43,6
44,4
45,6
46,6
47,6
48,6
49,4
50,6
51,4
52,6
53,4
54,4
55,4
56,4
57,6
58,6
59,6
60,4
61,4
62,4
63,4
64,4
65,4
66,6
67,6
68,6
69,4
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,4
78,6
79,6
80,6
81,6
82,4
83,6
84,4
85,4
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,4
94,4
95,4
96,6
97,4
98,6
99,6
100,4
101,4
102,6
103,4
104,4
105,4
