,Mod
1,4
2,4
3,3
4,3
5,3
6,4
7,3
8,4
9,4
10,4
11,3
12,4
13,3
14,3
15,4
16,4
17,4
18,3
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,3
27,4
28,4
29,4
30,4
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,4
41,4
42,4
43,3
44,4
45,3
46,3
47,3
48,3
49,4
50,3
51,3
52,3
53,4
54,4
55,4
56,4
57,4
58,3
59,3
60,4
61,4
62,4
63,4
64,3
65,3
66,3
67,3
68,3
69,4
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,4
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,4
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,4
94,3
95,4
96,3
97,4
98,3
99,4
100,4
101,4
102,3
103,4
104,4
105,4
